time,open,high,low,close,Volume,Volume MA,NV,USDCNH_close,USDJPY_close,USDGBP_close,USDCAD_close,USDCHF_close,USDNZD_close,EURUSD_close,EURCNH_close,EURJPY_close,EURGBP_close,EURCAD_close,EURCHF_close,EURNZD_close,AUDUSD_close,AUDCNH_close,AUDJPY_close,AUDGBP_close,AUDEUR_close,AUDCAD_close,AUDCHF_close,AUDNZD_close,SPX500_close,EURO50_close,AUS200_close,XAUUSD_close,WTIOIL_close
1698355080,0.63197,0.63198,0.63197,0.63198,19,20.15,19,7.32344,150.387,0.8245450572646542,1.38234,0.89795,1.7180654582939612,1.05595,7.73014,158.796,0.87042,1.45984,0.94841,1.8136,0.63198,4.62657,95.038,0.5212296850730243,0.5986375010476156,0.87374,0.56766,1.08553,4140.96,4035.01,6798.93,1984.83,83.481
1698355140,0.63198,0.63199,0.63197,0.63198,226,29.05,0,7.32348,150.387,0.824538258575198,1.38234,0.89768,1.7180359413118922,1.05599,7.73069,158.8,0.87042,1.45968,0.94814,1.81355,0.63198,4.62683,95.043,0.5212405525149857,0.5986554199268443,0.87368,0.56744,1.08551,4140.96,4035.01,6798.93,1984.83,83.481
1698355200,0.63198,0.63199,0.63196,0.63197,199,36.4,-199,7.32348,150.378,0.824538258575198,1.38239,0.89822,1.7180359413118922,1.05601,7.73068,158.802,0.87044,1.45978,0.94869,1.81361,0.63197,4.62683,95.044,0.5212378356120114,0.5986410847376455,0.87373,0.56781,1.08552,4140.96,4035.01,6798.93,1984.83,83.481
1698355260,0.63197,0.63198,0.63197,0.63198,85,40.15,85,7.32348,150.377,0.8245178631795057,1.38244,0.89793,1.7180359413118922,1.05602,7.73021,158.803,0.87039,1.45963,0.94848,1.81359,0.63198,4.62684,95.042,0.5212215347889314,0.5986410847376455,0.87363,0.56769,1.08553,4140.96,4035.01,6798.93,1984.83,83.481
1698355320,0.63198,0.63199,0.63198,0.63198,34,41.75,0,7.32348,150.376,0.8245042668095808,1.38243,0.89796,1.7180359413118922,1.05602,7.73035,158.807,0.87045,1.45972,0.9485,1.81366,0.63198,4.62692,95.042,0.5212296850730243,0.5986375010476156,0.87365,0.56768,1.08554,4140.96,4035.01,6798.93,1984.83,83.481
1698355380,0.63198,0.63208,0.63198,0.63206,18,42.6,18,7.32347,150.385,0.8245042668095808,1.38246,0.8978,1.7180359413118922,1.056,7.72994,158.803,0.87051,1.45974,0.94843,1.81363,0.63206,4.62785,95.054,0.5213275083673065,0.5987450304162475,0.87381,0.56774,1.08569,4140.96,4035.01,6798.93,1984.83,83.481
1698355440,0.63206,0.63206,0.63206,0.63206,2,42.45,0,7.32349,150.384,0.8245654540057389,1.38246,0.89786,1.7181244953009296,1.05597,7.73018,158.798,0.87058,1.45969,0.94843,1.81373,0.63206,4.62785,95.05,0.5213492518638236,0.5987450304162475,0.87382,0.56774,1.08571,4140.96,4035.01,6798.93,1984.83,83.481
1698355500,0.63206,0.63206,0.63205,0.63205,2,40.8,-2,7.32349,150.385,0.8245926512302922,1.38246,0.89804,1.7181835363653544,1.056,7.73097,158.806,0.87051,1.45981,0.94856,1.81374,0.63205,4.62779,95.053,0.5213275083673065,0.5987163521410097,0.87385,0.56782,1.08573,4140.96,4035.01,6798.93,1984.83,83.481
1698355620,0.63205,0.63205,0.63205,0.63205,4,40.45,0,7.32349,150.385,0.824551856066228,1.3824,0.89838,1.7183016306682475,1.05607,7.73211,158.812,0.87067,1.46011,0.94879,1.81419,0.63205,4.62779,95.041,0.5212432694462833,0.5985873338920148,0.87372,0.56777,1.08562,4140.96,4035.01,6798.93,1984.83,83.481
1698355680,0.63205,0.63206,0.63205,0.63206,9,40.25,9,7.32303,150.384,0.824538258575198,1.38235,0.89863,1.7183902120493522,1.05607,7.73209,158.807,0.8707,1.45984,0.9492,1.81425,0.63206,4.62773,95.039,0.5212351187373601,0.5985694190883788,0.87368,0.56801,1.08565,4140.96,4035.01,6798.93,1984.83,83.481
